구분,시도,시군구,기관명,주소,전화번호,"신청유형(A: 외래진료, B: 외래진료 및 입원)",위도,경도
HOSPITAL,서울,양천구,이화여자대학교목동병원,서울특별시 양천구 안양천로 1071,02-2650-5114,B,37.53637940000001,126.8864324
HOSPITAL,서울,양천구,홍익병원,서울특별시 양천구 목동로 225,02-2693-5555,A,37.5284349,126.86361889999998
HOSPITAL,서울,양천구,메디힐병원,서울특별시 양천구 남부순환로 331,02-2604-7551,A,37.537219799999995,126.8278378
HOSPITAL,서울,영등포구,가톨릭대학교 여의도성모병원,서울특별시 영등포구 63로 10,1661-7575,B,37.5179713,126.936089
HOSPITAL,서울,영등포구,한림대학교 강남성심병원,서울특별시 영등포구 신길로1,02-829-5114,B,37.4928431,126.90863050000002
HOSPITAL,서울,영등포구,성애병원,서울특별시 영등포구 여의대방로53길 22,1811-8114,A,37.5120291,126.92238270000001
HOSPITAL,서울,영등포구,명지성모병원,서울특별시 영등포구 도림로 156,1899-1475,A,37.4938274,126.8992573
HOSPITAL,서울,영등포구,영등포병원,서울특별시 영등포구 당산로3길10,02-2632-0013~8,A,37.526371499999996,126.89622829999999
HOSPITAL,서울,영등포구,새길병원,서울특별시 영등포구 영중로 59,02-1522-0075,A,37.521639799999996,126.90467819999999
HOSPITAL,서울,용산구,순천향대학교부속서울병원,서울특별시 용산구 대사관로 59,02-709-9114,B,37.5339355,127.00433360000001
HOSPITAL,서울,은평구,은평성모병원,서울특별시 은평구 통일로 1021,1811-7755,B,37.6331979,126.92022179999998
HOSPITAL,서울,은평구,청구성심병원,서울특별시 은평구 통일로 873,02-353-5511~9,A,37.62073240000001,126.91944489999999
HOSPITAL,서울,은평구,본서부병원,서울특별시 은평구 은평로 133,02-3156-5000,A,37.600696,126.92256819999999
HOSPITAL,서울,종로구,서울대학교병원,서울특별시 종로구 대학로101,02-1588-5700,B,37.577595599999995,126.99988630000001
HOSPITAL,서울,종로구,강북삼성병원,서울특별시 종로구 새문안로29,02-2001-2001,B,37.568358499999995,126.9674846
HOSPITAL,서울,종로구,서울적십자병원,서울특별시 종로구 새문안로 9,02-2002-8000,A,37.5671402,126.96705659999999
HOSPITAL,서울,종로구,세란병원,서울특별시 종로구 통일로 256,02-737-0181,A,37.5751936,126.9575253
HOSPITAL,서울,중구,인제대학교 서울백병원,서울특별시 중구 마른내로9,02-2270-0114,A,37.5649096,126.98875249999998
HOSPITAL,서울,중구,국립중앙의료원,서울특별시 중구 을지로 245,02-2260-7114,B,37.5674232,127.0059029
HOSPITAL,서울,중랑구,동부제일병원,서울특별시 중랑구 망우로511,02-437-5011,A,37.6007761,127.1092825
HOSPITAL,서울,중랑구,녹색병원,서울특별시 중랑구 사가정로 49길 53,02-490-2000,A,37.583500199999996,127.08615110000001
HOSPITAL,부산,강서구,갑을녹산병원,부산광역시 강서구 녹산산단 321로 24-8,051-974-8300,A,35.0906026,128.8533057
HOSPITAL,부산,금정구,세웅병원,부산광역시 금정구 서동로 162,051-500-9700,A,35.214399,129.1040842
HOSPITAL,부산,기장군,동남권원자력의학원,부산광역시 기장군 장안읍 좌동길40,051-720-5114,A,35.321483199999996,129.24361299999998
HOSPITAL,부산,기장군,기장병원,부산광역시 기장군 기장읍 대청로72번길 6,051-723-0171,A,35.2358805,129.216446
HOSPITAL,부산,남구,부산성모병원,부산광역시 남구 용호로 232번길 25-14,051-933-7114,A,35.110167,129.10920000000002
HOSPITAL,부산,남구,부산고려병원,부산광역시 남구 수영로 238,051-930-3000,A,35.1349057,129.09261999999998
HOSPITAL,부산,동구,일신기독병원,부산광역시 동구 정공단로 27,051-630-0300,A,35.1355141,129.0540545
HOSPITAL,부산,동구,김원묵기념봉생병원,부산광역시 동구 중앙대로 401,051-664-4000,A,35.1309523,129.0503957
HOSPITAL,부산,동구,좋은문화병원,부산광역시 동구 범일로119,051-644-2002,A,35.1407228,129.058962
HOSPITAL,부산,동래구,대동병원,부산광역시 동래구 충렬대로 187,051-554-1233,B,35.204521299999996,129.0802502
HOSPITAL,부산,동래구,광혜병원,부산광역시 동래구 충렬대로 96,051-503-2111,A,35.206832,129.0710667
HOSPITAL,부산,동래구,동래봉생병원,부산광역시 동래구 안연로 109번길 27,051-520-5500,A,35.196908199999996,129.09610809999998
HOSPITAL,부산,동래구,부산우리들병원,부산광역시 동래구 중앙대로 1523,051-559-2000,A,35.2212587,129.0856203
HOSPITAL,부산,북구,부민병원,부산광역시 북구 만덕대로59,051-330-3000,A,35.2119687,129.01123909999998
HOSPITAL,부산,북구,구포성심병원,부산광역시 북구 낙동대로1786,051-333-2001,A,35.2095944,129.0045343
HOSPITAL,부산,북구,화명일신기독병원,부산광역시 북구 금곡대로 264,051-363-0387,A,35.2318906,129.0136669
HOSPITAL,부산,사상구,좋은삼선병원,부산광역시 사상구 가야대로326,051-322-0900,A,35.15014790000001,129.0077859
HOSPITAL,부산,사상구,서부산센텀병원,부산광역시 사상구 새벽로 226,1644-5530,A,35.1612052,128.9845559
HOSPITAL,부산,사하구,우리원병원,부산광역시 사하구 다대로 565,051-260-1000,A,35.0558972,128.9709128
HOSPITAL,부산,서구,부산대학교병원,부산광역시 서구 구덕로 179,051-240-7000,B,35.100814,129.01872889999999
HOSPITAL,부산,서구,삼육부산병원,부산광역시 서구 대티로170,051-242-9751,A,35.112519,129.01126929999998
HOSPITAL,부산,서구,동아대학교병원,부산광역시 서구 대신공원로 26,051-240-2000,B,35.120294,129.0179994
HOSPITAL,부산,수영구,BHS한서병원,부산광역시 수영구 수영로 615,051-756-0081,A,35.1608916,129.11313049999998
HOSPITAL,부산,수영구,좋은강안병원,부산광역시 수영구 수영로493,051-625-0900,A,35.149963899999996,129.1104981
HOSPITAL,부산,수영구,부산센텀병원,부산광역시 수영구 수영로 677,051-750-5000,A,35.166261299999995,129.1145747
HOSPITAL,부산,연제구,한양류마디병원,부산광역시 연제구 과정로272(연산동),051-752-1990,A,35.1882335,129.0975551
HOSPITAL,부산,영도구,해동병원,부산광역시 영도구 태종로133,051-412-6161,A,35.0919367,129.0438842
HOSPITAL,부산,영도구,영도병원,부산광역시 영도구 태종로85,051-412-8881,A,35.0922458,129.0405355
HOSPITAL,부산,영도구,에스병원,부산광역시 영도구 동삼로 55-1,051-412-7000,A,35.07840230000001,129.07025059999998
HOSPITAL,부산,진구,온종합병원,부산광역시 진구 가야대로 721,051-607-0114,A,35.1578057,129.0499681
HOSPITAL,부산,진구,오성병원,부산광역시 진구 중앙대로 910,051-850-0800,A,35.171324999999996,129.0704317
HOSPITAL,부산,해운대구,인제대학교 해운대백병원,부산광역시 해운대구 해운대로 875,051-797-0100,B,35.1733441,129.1822042
HOSPITAL,부산,해운대구,해운대부민병원,부산광역시 해운대구 해운대로584,051-602-8000,B,35.161368599999996,129.1558441
HOSPITAL,부산,해운대구,효성시티병원,부산광역시 해운대구 해운대로 135,051-709-3000,A,35.1852051,129.12146479999998
HOSPITAL,인천,강화군,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,032-290-0001,A,37.7461732,126.4868004
HOSPITAL,인천,계양구,한림병원,인천광역시 계양구 장제로722,032-540-9114,B,37.5321972,126.73433049999998
HOSPITAL,인천,계양구,메디플렉스 세종병원,인천광역시 계양구 계양문화로20,032-240-8000,B,37.532404799999995,126.7367467
HOSPITAL,인천,계양구,더드림병원,인천광역시 계양구 계양대로 123,032-282-7575,A,37.5349575,126.72224069999999
HOSPITAL,인천,남동구,길병원,인천광역시 남동구 남동대로 774번길 21,032-460-3114,B,37.451834700000006,126.70926310000002
HOSPITAL,인천,동구,인천광역시의료원,인천광역시 동구 방축로 217,032-580-6000,A,37.484578,126.65474029999999
HOSPITAL,인천,동구,인천백병원,인천광역시 동구 샛골로 214,032-765-7070,A,37.476534199999996,126.644187
HOSPITAL,인천,미추홀구,인천사랑병원,인천광역시 미추홀구 미추홀대로 726,032-457-2000,A,37.4620945,126.68076819999999
HOSPITAL,인천,미추홀구,현대유비스병원,인천광역시 미추홀구 독배로503,032-888-7575,A,37.4614899,126.6429794
HOSPITAL,인천,미추홀구,나누리병원,인천광역시 미추홀구 인주대로 485,1688-9797,A,37.4545052,126.6653838
HOSPITAL,인천,미추홀구,성모윌병원,인천광역시 미추홀구 경인로 488,032-421-0075,A,37.459335599999996,126.6939181
HOSPITAL,인천,부평구,가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56,032-1544-9004,B,37.484407399999995,126.7249147
HOSPITAL,인천,부평구,부평세림병원,인천광역시 부평구 부평대로 175,032-524-0591,A,37.5067625,126.72005569999997
HOSPITAL,인천,부평구,한길안과병원,인천광역시 부평구 부평대로 35,032-503-3322,A,37.4945466,126.7223234
HOSPITAL,인천,부평구,나누리병원,인천광역시 부평구 장제로 156,1688-9797,A,37.4991219,126.73327590000001
HOSPITAL,인천,서구,뉴성민병원,인천광역시 서구 신석로 70,032-726-1000,A,37.5091475,126.66969569999998
HOSPITAL,인천,서구,나은병원,인천광역시 서구 원적로23,032-584-0114,B,37.4890123,126.67977929999999
HOSPITAL,인천,서구,검단탑병원,인천광역시 서구 청마로19번길5,032-590-0114,B,37.592526299999996,126.67094480000002
HOSPITAL,인천,서구,온누리병원,인천광역시 서구 완정로 119,032-567-6200,A,37.598588299999996,126.66417150000001
HOSPITAL,인천,서구,가톨릭관동대학교 국제성모병원,인천광역시 서구  심곡로100번길 25,1600-8291,B,37.5424593,126.68382049999998
HOSPITAL,인천,연수구,나사렛국제병원,인천광역시 연수구 먼우금로 98,032-899-9999,B,37.4078996,126.67049619999997
HOSPITAL,인천,연수구,인천적십자병원,인천광역시 연수구 원인재로263,032-899-4000,A,37.418596,126.68883740000001
HOSPITAL,인천,중구,인천기독병원,인천광역시 중구 답동로30번길10,032-270-8000,A,37.4712731,126.632106
HOSPITAL,인천,중구,인하대학교병원,인천광역시 중구 인항로 27,032-890-2114,B,37.458619,126.63403760000001
HOSPITAL,대구,남구,영남대학교병원,대구광역시 남구 현충로 170,053-623-8001,A,35.8469571,128.5827831
HOSPITAL,대구,남구,드림병원,대구광역시 남구 대명로 153,053-640-8800,A,35.8396305,128.57449499999998
HOSPITAL,대구,달서구,구병원,대구광역시 달서구 감삼북길 141,053-560-9114,A,35.8506505,128.5413994
HOSPITAL,대구,달서구,삼일병원,대구광역시 달서구 월배로 446,053-659-3100,B,35.832946899999996,128.55440629999998
HOSPITAL,대구,달서구,W병원,대구광역시 달서구 달구벌대로 1632,053-550-5000,A,35.8527263,128.5450535
HOSPITAL,대구,달서구,대구보광병원,대구광역시 달서구 구마로 128,053-651-3232,A,35.836759799999996,128.5416946
HOSPITAL,대구,달서구,참조은병원,대구광역시 달서구 월배로 404,053-630-8000,A,35.8303009,128.5516098
HOSPITAL,대구,달서구,세강병원,대구광역시 달서구 구마로 220,053-620-6248,A,35.8366663,128.55173689999998
HOSPITAL,대구,동구,대구파티마병원,대구광역시 동구 아양로99,053-1688-7770,B,35.8840357,128.6238479
HOSPITAL,대구,북구,대구가톨릭대학교칠곡가톨릭병원,대구광역시 북구 칠곡중앙대로440,053-320-2500,A,35.9349066,128.54929669999999
HOSPITAL,대구,북구,대구시티병원,대구광역시 북구 동북로 270,053-959-7114,A,35.8934918,128.61958220000002
HOSPITAL,대구,서구,서대구병원,대구광역시 서구 국채보상로 200,053-558-5800,A,35.869653299999996,128.5530174
HOSPITAL,대구,수성구,천주성삼병원,대구광역시 수성구 달구벌대로 3190,053-790-1000,A,35.840264499999996,128.7057506
HOSPITAL,대구,중구,경북대학교병원,대구광역시 중구 동덕로 130,053-420-5114,A,35.865942,128.60513559999998
HOSPITAL,대구,중구,곽병원,대구광역시 중구 국채보상로 531,053-252-2401,A,35.8707148,128.5887352
HOSPITAL,대구,중구,광개토병원,대구광역시 중구 중앙대로 366,053-565-1190,A,35.8659896,128.5937806
HOSPITAL,대구,중구,푸른병원,대구광역시 중구 태평로 102,053-471-2800,A,35.8757559,128.5929742
HOSPITAL,광주,광산구,첨단종합병원,광주광역시 광산구 첨단중앙로 170번길 59,062-601-8114,A,35.2209175,126.84517299999999
HOSPITAL,광주,광산구,KS병원,광주광역시 광산구 왕버들로 220,062-975-9000,A,35.1978963,126.8332013
HOSPITAL,광주,남구,광주기독병원,광주광역시 남구 양림로 37,062-650-5000,B,35.1366727,126.91212199999998
HOSPITAL,광주,동구,전남대학교병원,광주광역시 동구 제봉로42,1899-0000,B,35.1416819,126.9220315
HOSPITAL,광주,서구,서광병원,광주광역시 서구 금화로 59번길6,062-600-8000,A,35.1326041,126.85548990000001
HOSPITAL,대전,동구,대전한국병원,대전광역시 동구 동서대로1672,042-606-1000,A,36.3481517,127.43582869999999
HOSPITAL,대전,서구,대전을지대학교병원,대전광역시 서구 둔산서로95,042-259-1000,B,36.355326999999996,127.38200819999999
HOSPITAL,대전,서구,건양대학교병원,대전광역시 서구 가수원동 관저동로 158,1577-3330,B,36.2992196,127.34031949999999
HOSPITAL,대전,유성구,유성선병원,대전광역시 유성구 북유성대로93,042-1588-7011,A,36.37518,127.32480249999999
HOSPITAL,대전,중구,가톨릭대학교 대전성모병원,대전광역시 중구 대흥로64,042-220-9114,B,36.3219153,127.42036339999999
HOSPITAL,대전,중구,대전선병원,대전광역시 중구 목중로29,042-220-8114,B,36.336001599999996,127.41018039999997
HOSPITAL,울산,남구,울산병원,울산광역시 남구 월평로171번길 13,052-259-5000,A,35.546209,129.32307839999999
HOSPITAL,울산,남구,좋은삼정병원,울산광역시 남구 북부순환도로 51,052-220-7500,A,35.5528284,129.26905879999998
HOSPITAL,울산,남구,중앙병원,울산광역시 남구 문수로 480번길 10,052-226-1100,A,35.531523299999996,129.3052032
HOSPITAL,울산,남구,울산보람병원,울산광역시 남구 돋질로336번길 10,052-278-0114,A,35.542374699999996,129.34104109999998
HOSPITAL,울산,동구,울산대학교병원,울산광역시 동구 방어진순환도로877,052-250-7000,B,35.5111519,129.4234794
HOSPITAL,울산,북구,울산시티병원,울산광역시 북구 산업로1007,052-280-9000,A,35.582894,129.3588552
HOSPITAL,울산,북구,21세기좋은병원,울산광역시 북구 호계로 285,052-290-2100,A,35.6288954,129.3506373
HOSPITAL,울산,울주군,서울산보람병원,울산광역시 울주군 삼남면 중평로 53,052-255-7114,A,35.5596168,129.1205746
HOSPITAL,울산,중구,동강병원,울산광역시 중구 태화로 239,052-241-1114,A,35.553663,129.3020349
HOSPITAL,세종,,엔케이세종병원,세종특별자치시 한누리대로 161,044-850-7700,A,
HOSPITAL,경기,고양시 덕양구,명지병원,경기도 고양시 덕양구 화수로 14번길 55,031-810-5114,B,37.6420879,126.83093500000001
HOSPITAL,경기,고양시 덕양구,자인메디병원,경기도 고양시 덕양구 덕양구 중앙로555,031-930-3114,A,37.6230404,126.83548929999999
HOSPITAL,경기,고양시 일산동구,국민건강보험공단 일산병원,경기도 고양시 일산동구 일산로100,031-900-0114,B,37.6454297,126.7929091
HOSPITAL,경기,고양시 일산동구,국립암센터,경기도 고양시 일산동구 일산로323,031-920-0001,A,37.663835399999996,126.7829114
HOSPITAL,경기,고양시 일산동구,동국대학교 일산불교병원,경기도 고양시 일산동구 동국로27,031-961-7000,B,37.6763007,126.8067038
HOSPITAL,경기,고양시 일산동구,일산복음의료재단,경기도 고양시 일산동구 고양대로 760,031-977-5000,A,37.681719799999996,126.7799777
HOSPITAL,경기,고양시 일산서구,인제대학교 일산백병원,경기도 고양시 일산서구 주화로170,031-910-7511,B,37.6742288,126.75036700000001
HOSPITAL,경기,광명시,광명성애병원,경기도 광명시 디지털로 36,02-2680-7114,A,37.4732445,126.8718849
HOSPITAL,경기,광주시,참조은병원,경기도 광주시 광주대로45,031-767-7575,A,37.410903399999995,127.26022999999999
HOSPITAL,경기,광주시,더플러스병원,경기도 광주시 경안로40,031-763-7582,A,37.4095535,127.25619019999999
HOSPITAL,경기,구리시,한양대학교구리병원,경기도 구리시 경춘로153,031-560-2114,B,37.6011613,127.13231950000001
HOSPITAL,경기,군포시,원광대학교의과대학산본병원,경기도 군포시 산본로 321,031-390-2300,A,37.359376399999995,126.9335943
HOSPITAL,경기,군포시,지샘병원,경기도 군포시 군포로 591,031-389-3000,A,37.3586521,126.94729590000001
HOSPITAL,경기,김포시,김포우리병원,경기도 김포시 감암로11,031-999-1000,B,37.6323493,126.71077049999998
HOSPITAL,경기,김포시,뉴고려병원,경기도 김포시 김포한강3로283,031-980-9114,B,37.6409053,126.66023940000001
HOSPITAL,경기,김포시,히즈메디병원,경기도 김포시 김포대로 681,1588-0223,A,37.611179799999995,126.73496379999999
HOSPITAL,경기,남양주시,남양주한양병원,경기도 남양주시 오남읍 양지로47-55,031-510-0114,B,37.6823506,127.20421999999999
HOSPITAL,경기,남양주시,중앙대의료원교육협력현대병원,경기도 남양주시 진접읍 봉현로21,031-574-9119,B,37.7155114,127.17965299999997
HOSPITAL,경기,남양주시,베리굿병원,경기도 남양주시 별내5로5번길5,031-567-8585,A,37.6637601,127.10783789999998
HOSPITAL,경기,부천시,세종병원,경기도 부천시 호현로489번길 28,1599-6677,B,37.4811218,126.791382
HOSPITAL,경기,부천시,가톨릭대학교 부천성모병원,경기도 부천시 소사로327,032-1577-0675,B,37.48612380000001,126.7924958
HOSPITAL,경기,부천시,순천향대학교부속부천병원,경기도 부천시 조마루로170,032-621-5114,B,37.4978251,126.76274439999997
HOSPITAL,경기,부천시,다니엘종합병원,경기도 부천시 중동로 361,032-670-0001,A,37.512245199999995,126.76947740000001
HOSPITAL,경기,부천시,예손병원,경기도 부천시 부천로 206,1666-7582,A,37.5024637,126.78717460000001
HOSPITAL,경기,부천시,부천우리병원,경기도 부천시 원종동 277-14,032-672-4100,A,37.5243469,126.80519719999998
HOSPITAL,경기,성남시 분당구,분당제생병원,경기도 성남시 분당구 서현로 108번길 20,031-779-0114,B,37.3881528,127.12174719999999
HOSPITAL,경기,성남시 분당구,분당서울대학교병원,경기도 성남시 분당구 구미로 173번길 82,031-1588-3369,B,37.350403299999996,127.1244617
HOSPITAL,경기,성남시 분당구,바른세상병원,경기도 성남시 분당구 야탑로 75번길 5,1577-3175,A,37.4102726,127.1268085
HOSPITAL,경기,성남시 분당구,분당척병원,경기도 성남시 분당구 성남대로932,1599-7500,A,37.412846099999996,127.12925709999999
HOSPITAL,경기,성남시 분당구,서울나우병원,경기도 성남시 분당구 분당로 43,031-788-5600,A,37.384038,127.1202529
HOSPITAL,경기,성남시 수정구,정병원,경기도 성남시 수정구 수정로 76,031-750-6000,B,37.4398303,127.1290044
HOSPITAL,경기,성남시 수정구,지우병원,경기도 성남시 수정구 수정로 183,1544-6686,A,37.4436876,127.14017719999998
HOSPITAL,경기,성남시 중원구,바른마디병원,경기도 성남시 중원구  광명로 330,031-735-9110,A,37.4452224,127.1625612
HOSPITAL,경기,수원시 권선구,제이에스병원,"경기도 수원시 권선구 금곡로196번길, 76",1800-5446,A,37.2733407,126.95540760000002
HOSPITAL,경기,수원시 영통구,아주대학교병원,경기도 수원시 영통구 월드컵로 164,031-1688-6114,B,37.2795318,127.0477406
HOSPITAL,경기,수원시 영통구,나누리수원병원,경기도 수원시 영통구 중부대로 295,1688-9797,A,37.2737324,127.0481868
HOSPITAL,경기,수원시 팔달구,가톨릭대학교 성빈센트병원,경기도 수원시 팔달구 중부대로 93,1577-8588,B,37.278437499999995,127.0278484
HOSPITAL,경기,수원시 팔달구,동수원병원,경기도 수원시 팔달구 중부대로 165,031-210-0114,A,37.278441,127.0343254
HOSPITAL,경기,수원시 팔달구,이춘택병원,경기도 수원시 팔달구 팔달구 매산로138,1588-2927,A,37.2717921,127.01575199999998
HOSPITAL,경기,수원시 팔달구,윌스기념병원,경기도 수원시 팔달구 경수대로 437,031-223-2233,A,37.2651153,127.02547729999998
HOSPITAL,경기,시흥시,신천연합병원,경기도 시흥시 복지로 57,031-310-6300,A,37.444552099999996,126.78951599999999
HOSPITAL,경기,시흥시,센트럴병원,경기도 시흥시 공단1대로237,031-8041-3854,A,37.3367245,126.72816710000001
HOSPITAL,경기,시흥시,시화병원,경기도 시흥시 옥구천서로337,031-432-2600,A,37.3528958,126.7245906
HOSPITAL,경기,안산시,근로복지공단안산병원,경기도 안산시 구룡로 87,031-500-1114,A,37.3166128,126.8743722
HOSPITAL,경기,안산시 단원구,고려대학교안산병원,경기도 안산시 단원구 적금로 123,031-412-5114,B,37.319133300000004,126.8252651
HOSPITAL,경기,안산시 단원구,단원병원,경기도 안산시 단원구 원포공원1로 20,031-8040-6600,A,37.300334299999996,126.81323149999999
HOSPITAL,경기,안산시 단원구,온누리병원,경기도 안산시 단원구 선부로 201,031-412-2200,A,37.3418275,126.8174982
HOSPITAL,경기,안산시 상록구,사랑의병원,경기도 안산시 상록구 예술광장로 69,031-439-3000,A,37.326979099999996,126.84477930000001
HOSPITAL,경기,안성시,안성성모병원,경기도 안성시 시장길58,031-675-6007,A,37.006217899999996,127.27103289999998
HOSPITAL,경기,안양시 동안구,한림대학교성심병원,경기도 안양시 동안구 관평로170번길 22,031-380-1500,B,37.391430799999995,126.96175369999999
HOSPITAL,경기,안양시 동안구,안양윌스기념병원,경기도 안양시 동안구 경수대로 560,031-460-1114,A,37.3727592,126.95818589999999
HOSPITAL,경기,여주시,연세새로운병원,경기도 여주시 영릉로 22,031-885-7582,A,37.2898476,127.63291579999998
HOSPITAL,경기,여주시,세종여주병원,경기도 여주시 청심로 39,031-880-7700,B,37.3014144,127.6251858
HOSPITAL,경기,오산시,오산한국병원,경기도 오산시 밀머리로 1번길 16,1566-3534,B,37.141348799999996,127.07559029999999
HOSPITAL,경기,오산시,조은오산병원,경기도 오산시 오산로 307,1544-5355,A,37.1542863,127.06839330000001
HOSPITAL,경기,용인시 기흥구,연세대학교 용인세브란스병원,경기도 용인시 기흥구 동백죽전대로 363,1899-1004,A,37.272137099999995,127.1521978
HOSPITAL,경기,용인시 기흥구,강남병원,경기도 용인시 기흥구 중부대로411,031-300-0114,B,37.2735367,127.1113393
HOSPITAL,경기,용인시 처인구,다보스병원,경기도 용인시 처인구 처인구백옥대로1082번길 18,031-8021-2114,A,37.2314675,127.21136659999999
HOSPITAL,경기,의정부시,가톨릭대학교 의정부성모병원,경기도 의정부시 천보로 271,031-1661-7500,B,37.7583561,127.07744590000001
HOSPITAL,경기,의정부시,의정부백병원,경기도 의정부시 금신로 322,031-856-8111,A,37.7452366,127.0620467
HOSPITAL,경기,의정부시,성베드로병원,경기도 의정부시 평화로622,031-840-1700,A,37.7474524,127.04579919999999
HOSPITAL,경기,이천시,경기도의료원 이천병원,경기도 이천시 경충대로 2742 번길,031-630-4200,B,37.282593399999996,127.4328154
HOSPITAL,경기,이천시,이천엘리야병원,경기도 이천시 장호원읍 서동대로 8793,1800-4275,A,37.1155465,127.61217110000001
HOSPITAL,경기,파주시,메디인병원,경기도 파주시 시청로6,031-1566-1991,A,37.7580017,126.774838
